"","name","mean_ndci_fall","mean_ndci_spring","mean_ndci_summer","mean_ndci_winter","min_ndci_fall","min_ndci_spring","min_ndci_summer","min_ndci_winter","max_ndci_fall","max_ndci_spring","max_ndci_summer","max_ndci_winter"
"206","Lake Sidney Lanier",0.0106509831084005,-0.00943126314387239,0.0179212845624616,-0.0480427984895655,-0.0796318082812184,-0.148423157873447,-0.0667863907060071,-0.242336540477795,0.140314348928077,0.126411213115882,0.0830410504093461,0.0622500475644793
"207","Lake Sonoma",-0.114939216062578,-0.0795172364827902,-0.0910061138784484,-0.0522157064244232,-0.297496043123471,-0.315830257444641,-0.340508503657501,-0.297178986130248,0.0942128037866916,0.139838408949658,0.00662224858539612,0.0724355531686359
"208","Lake Success",0.0111090689141314,-0.00753578125631485,-0.0235839081393291,0.0126942285005573,-0.169463250432386,-0.296480892231789,-0.284478804715049,-0.16995236740432,0.201980868308915,0.139915122532897,0.177675509768929,0.189793263369789
"209","Lake Texoma",0.0869171831573304,0.0180893704744435,0.0760586933783847,0.0117453991688899,-0.0231217988983861,-0.0528418452804212,0.0160605077793752,-0.0631929194659474,0.246038594735551,0.109345887319545,0.177568061198403,0.108391946336515
"210","Lake Traverse",0.0356659311756551,0.0539623800455915,0.132764552406188,-0.00167838139133062,-0.101639529415162,-0.0432579608900623,0.00358558056190491,-0.0568003859715946,0.231206827121518,0.820354475342245,0.264457628608156,0.0264377892506188
"211","Lake Umatilla",0.0659851197894007,0.00137516316905877,0.0539456575940484,-0.00162341389004835,-0.150651712302917,-0.172222321063038,-0.262309128260609,-0.292246990876843,0.602378814679357,0.327901360851516,0.545597492158446,0.588861426896781
"212","Lake Wallula",-0.0170793959361199,-0.0341227682812409,-0.0173961271054034,-0.0720701921885263,-0.225550699762415,-0.194188835930396,-0.240537872474427,-0.316807454484999,0.154279707224725,0.0583685400439083,0.0515854390856386,0.0708983875934723
"213","Lake Winnibigoshish",-0.0241861995046792,0.00965780298506876,0.0095380892765201,0.0188028774741957,-0.313112466581427,-0.0301593725825289,-0.0478172082908029,-0.0436111098248235,0.0747779542455572,0.0442684677704063,0.0640396025862433,0.0685496035632827
"214","Laurel River Lake",0.0087731159497036,-0.000271089211000721,0.0282981249109106,-0.0436849603794396,-0.0574225805872656,-0.155330917855256,-0.0294687708820997,-0.119274006279155,0.150957882358255,0.153301321455377,0.132786150881939,0.0375632265302215
"215","Lavon Lake",0.141216513549366,0.0406025451930069,0.107684775750284,0.0446845775131109,0.0197710496219994,-0.000500338974977654,0.0400348420268448,-0.0112334442178819,0.226400812165117,0.168154958042265,0.191105738993499,0.120806469267844
"216","Leech Lake",-0.0377300205998072,0.00326007688488203,0.0148886085322336,0.0214131853827055,-0.46406317656878,-0.0399770475297779,-0.040054591664895,-0.0424628378034333,0.101104732822164,0.0659208220657106,0.061703030257962,0.187854594069027
"217","Leesville Lake",0.0386400515871815,0.00597092888850547,0.0397203173517514,-0.00323505552516067,-0.0239735939979824,-0.0746650125110452,-0.0040682546288023,-0.0634836960742393,0.091756403113663,0.105404273985334,0.0956657887353442,0.0754476629541288
"218","Lewis and Clark Lake",-0.0726721622863264,-0.0209696142793093,0.0187928905896768,-0.0109448303541199,-0.251655797151562,-0.0977167996135651,-0.0431017006106074,-0.227937305794632,0.0489212172703359,0.0629541522531518,0.0681292889535007,0.0896185090874718
"219","Lewisville Lake",0.12001053664293,0.0300426708598548,0.099912466629438,0.0160841333105326,0.0158823417352698,-0.0168602045720303,0.0372124533456768,-0.0241377836628665,0.189354805172194,0.0722159123138199,0.171633196364421,0.0557442635088848
"220","Littleville Lake",-0.023144371031917,0.0230264624614347,0.039322967379099,-0.0279152527394449,-0.133919700495637,-0.0928758270815648,-0.00911226465079152,-0.243573318540509,0.110051799692352,0.111849532420559,0.077313671603652,0.0630633697347706
"221","Long Branch Lake",0.0831360063974333,0.0268322200410178,0.0849282431309952,-0.00496369919641213,-0.0113737138640906,-0.0157363730466325,-0.0268972898175656,-0.0558886089183311,0.177141009493453,0.0891030123701366,0.196811026869563,0.0768067313472853
"222","Longview Lake",0.00149600905845425,-0.0309680084962318,0.0320533824372029,-0.0753448964182444,-0.0827612757686798,-0.119284309139789,-0.00532692525770973,-0.188363566004079,0.0866919542373097,0.0447474997124707,0.0734904063233784,0.0423135547737785
"223","Lookout Point Lake",0.0282030581638801,-0.0671696665478378,-0.0171494779833009,0.0180425080148283,-0.00708186029947191,-0.202892749952077,-0.0428651204053268,-0.0203588421843224,0.0606445631576955,0.0137344963289353,0.0389617298713782,0.0660987236182595
"224","Lost Creek Lake",0.0104171430800915,-0.123499592926166,-0.118449902709629,-0.0448041841549359,-0.0764055953519062,-0.551823145191494,-0.208662296696555,-0.322924737849736,0.0678042664309428,0.0148771264505634,-0.0107666899799378,0.0782926370577856
"225","Lower Granite Lake",0.00428751692135182,-0.0568611318724436,-0.000281185032927451,-0.0499626186093254,-0.169431730791566,-0.297017962487056,-0.116633395883589,-0.523803666068375,0.130165933368747,0.112175562018015,0.14206893237425,0.197047282155882
"226","Loyalhanna Lake",0.0424257572973902,0.00441558674721421,0.0558472742354463,-0.0186489396705308,-0.0518206693155837,-0.109949112201629,-0.00895696625015383,-0.112300332747989,0.103751883355174,0.0868575348801274,0.121103907095418,0.0805913521292602
"227","Lucky Peak Lake",-0.0340589852914885,-0.0218779153224118,-0.0810585465170453,0.0157759060190799,-0.131626086636474,-0.192197135174874,-0.225062356584516,-0.041548975773627,0.0653467341837392,0.073991537321265,0.0745324097734761,0.0638313890621367
"228","Mahoning Creek Lake",0.0482362341595771,0.00102594695070713,0.0688567063404741,0.00627612220236495,-0.0536165433232635,-0.175849829892995,-0.023078685445654,-0.0421876622996723,0.165960259552353,0.0929026356242791,0.127939324605675,0.0636317811982592
"229","Mansfield Hollow Lake",-0.00220841407576683,0.0418833217163031,0.0446695486364025,-0.052284842421749,-0.147711773321828,-0.00623991735564141,-0.00360231466331568,-0.111807525443277,0.079605463799023,0.0966161800712709,0.0804154620087334,0.023035069352337
"230","Marion Lake",0.063763352640892,0.0384458588874387,0.129301339415143,0.0121595721985558,-0.0719673243943729,-0.0321496173877156,0.0537221343891429,-0.0627370667804137,0.168120307789075,0.098393755838672,0.260346585137716,0.0464867582032605
"231","Mark Twain Lake",0.0237264043938854,0.00505744245030083,0.0539623464904461,-0.0301567301350643,-0.109366874442857,-0.0461460182509668,-0.0238405945063853,-0.111969373724816,0.121248227380095,0.0985615558644374,0.116172772989404,0.0526315789473684
"232","Marsh Lake",0.119624450898738,0.037368095372695,0.121722121806903,0.0236494591318177,0.0520726036705254,-0.0226478333732343,-0.00123915737298637,-0.0164551416778174,0.193593501654844,0.101974658154812,0.208457018413142,0.0484031276842001
"233","Martins Fork Lake",-0.0501396825671243,-0.0340596084615775,0.00540622794773981,-0.0760219094185416,-0.304354467554608,-0.168339425848507,-0.239522796526072,-0.146620918289884,0.0919515084896678,0.142302859581725,0.0668053129161091,0.000940352704599115
"234","Melvern Lake",-0.0138583444252034,-0.00923663554936699,0.0327104199308657,-0.045747601764227,-0.0811880447193275,-0.0628224291544154,-0.00678835863133922,-0.118921359803443,0.0655558224301138,0.050237563201173,0.0555750629838939,0.0121415438973411
